seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
0,3ag,3,1,1.0,2,0.00019500000000016726,0.0001987500000000253,True,True
0,ILP,3,1,1.0,2,0.03295899999999996,0.014739667000000012,True,True
1,3ag,3,1,6.0,2,6.299999999992423e-05,6.429200000002133e-05,True,True
1,ILP,3,1,6.0,2,0.002621999999999902,0.0011322089999999951,True,True
2,3ag,3,1,7.0,2,4.599999999999049e-05,4.724999999999868e-05,True,True
2,ILP,3,1,7.0,2,0.0022259999999998392,0.001081166999999994,True,True
3,3ag,3,1,9.0,2,4.799999999982596e-05,4.891699999998167e-05,True,True
3,ILP,3,1,4.0,2,0.0029959999999999987,0.0010335410000000267,True,True
4,3ag,3,1,8.0,2,6.599999999989947e-05,4.300000000001525e-05,True,True
4,ILP,3,1,2.0,2,0.0039349999999998,0.0012254999999999905,True,True
5,3ag,3,1,4.0,2,6.499999999998174e-05,6.533300000000075e-05,True,True
5,ILP,3,1,4.0,2,0.0033130000000001214,0.0011977089999999913,True,True
6,3ag,3,1,1.0,2,5.900000000003125e-05,5.974999999996955e-05,True,True
6,ILP,3,1,1.0,2,0.003651000000000071,0.001097749999999953,True,True
7,3ag,3,1,5.0,2,4.599999999999049e-05,4.683300000002388e-05,True,True
7,ILP,3,1,4.0,2,0.0027639999999999887,0.0009210829999999892,True,True
8,3ag,3,1,5.0,2,3.8999999999900226e-05,3.9291999999968574e-05,True,True
8,ILP,3,1,2.0,2,0.003222999999999976,0.0008343749999999983,True,True
9,3ag,3,1,9.0,2,4.899999999996574e-05,4.354200000000752e-05,True,True
9,ILP,3,1,6.0,2,0.0032010000000000094,0.000955499999999998,True,True
0,3ag,3,2,5.0,2,0.00010500000000002174,7.574999999998555e-05,True,True
0,ILP,3,2,5.0,2,0.006037999999999988,0.0019355420000000123,True,True
1,3ag,3,2,7.0,3,5.699999999997374e-05,5.804100000000867e-05,True,True
1,ILP,3,2,7.0,3,0.0051720000000001765,0.0015462499999999713,True,True
2,3ag,3,2,17.0,4,6.0999999999866716e-05,5.9499999999990116e-05,True,False
2,ILP,3,2,10.0,2,0.004297999999999913,0.001834290999999988,True,True
3,3ag,3,2,10.0,2,0.00011099999999997223,7.841599999997007e-05,True,True
3,ILP,3,2,10.0,3,0.005831999999999837,0.001655707999999978,True,False
4,3ag,3,2,17.0,3,6.0999999999866716e-05,6.245799999998747e-05,True,False
4,ILP,3,2,10.0,3,0.004786999999999875,0.0015577910000000306,True,True
5,3ag,3,2,9.0,3,0.0001100000000000545,6.0416000000007575e-05,True,False
5,ILP,3,2,8.0,2,0.007585999999999871,0.0035776250000000287,True,True
6,3ag,3,2,6.0,3,0.0031159999999998966,0.00019020899999999674,True,True
6,ILP,3,2,3.0,2,0.01384799999999986,0.006927709000000004,True,True
7,3ag,3,2,11.0,2,8.000000000008001e-05,8.245800000000747e-05,True,True
7,ILP,3,2,8.0,2,0.008166000000000118,0.0034847089999999747,True,True
8,3ag,3,2,11.0,3,0.00017299999999975668,7.887499999997827e-05,True,True
8,ILP,3,2,8.0,3,0.013860000000000205,0.005229499999999998,True,True
9,3ag,3,2,8.0,2,0.003446999999999978,0.00012045799999998996,True,True
9,ILP,3,2,8.0,2,0.010806999999999789,0.004673166999999978,True,True
0,3ag,3,3,10.0,2,8.799999999986596e-05,9.00000000000345e-05,True,True
0,ILP,3,3,10.0,2,0.04073400000000005,0.016606166000000033,True,True
1,3ag,3,3,10.0,2,0.0002589999999997872,0.00013104199999997013,True,True
1,ILP,3,3,10.0,2,0.00903799999999988,0.0033620830000000157,True,True
2,3ag,3,3,12.0,1,8.200000000035956e-05,6.8332999999976e-05,True,True
2,ILP,3,3,12.0,1,0.005454000000000292,0.0028889590000000243,True,True
3,3ag,3,3,14.0,2,0.00011099999999997223,0.00011075000000004831,True,True
3,ILP,3,3,14.0,2,0.0166059999999999,0.004828708999999987,True,True
4,3ag,3,3,13.0,1,8.900000000000574e-05,8.31669999999951e-05,True,True
4,ILP,3,3,13.0,1,0.0066630000000000855,0.002278374999999999,True,True
5,3ag,3,3,9.0,2,0.00015499999999990521,9.949999999997461e-05,True,False
5,ILP,3,3,9.0,2,0.01292099999999996,0.004631416999999971,True,False
6,3ag,3,3,5.0,0,8.700000000017027e-05,8.35839999999699e-05,True,True
6,ILP,3,3,5.0,0,0.0073790000000002465,0.0029372910000000085,True,True
7,3ag,3,3,17.0,2,8.200000000035956e-05,8.35410000000203e-05,True,True
7,ILP,3,3,17.0,2,0.014740999999999893,0.0034553749999999828,True,True
8,3ag,3,3,9.0,1,0.00013200000000024303,7.658300000001894e-05,True,True
8,ILP,3,3,9.0,1,0.01739600000000019,0.004478541999999974,True,True
9,3ag,3,3,10.0,1,0.0001229999999998732,7.787500000000502e-05,True,True
9,ILP,3,3,10.0,1,0.005900000000000016,0.0025170840000000028,True,True
0,3ag,3,4,18.0,3,0.00016999999999978144,0.00012445799999999396,True,True
0,ILP,3,4,16.0,1,0.01607599999999998,0.004097207999999963,True,True
1,3ag,3,4,16.0,0,0.0001609999999998557,0.0001559580000000116,True,True
1,ILP,3,4,16.0,0,0.01610699999999987,0.00421724999999995,True,True
2,3ag,3,4,18.0,2,0.000128000000000128,8.07499999999628e-05,True,True
2,ILP,3,4,17.0,0,0.006601000000000301,0.0022640839999999995,True,True
3,3ag,3,4,19.0,2,0.00019900000000028228,9.804200000002039e-05,True,True
3,ILP,3,4,15.0,1,0.020054999999999712,0.005103332999999988,True,False
4,3ag,3,4,18.0,0,7.599999999996498e-05,7.766599999997625e-05,True,True
4,ILP,3,4,18.0,0,0.006627999999999634,0.0023130829999999936,True,True
5,3ag,3,4,8.0,1,0.00021899999999996922,0.00011354200000002201,True,True
5,ILP,3,4,8.0,1,0.006575999999999915,0.0021885839999999934,True,True
6,3ag,3,4,8.0,0,6.899999999987472e-05,6.416700000000386e-05,True,True
6,ILP,3,4,9.0,1,0.0063500000000003,0.00279095800000001,True,True
7,3ag,3,4,23.0,2,0.00012999999999996348,0.00013170799999995264,True,True
7,ILP,3,4,22.0,2,0.004110999999999976,0.003380333999999985,True,True
8,3ag,3,4,9.0,1,8.300000000005525e-05,8.429200000004133e-05,True,True
8,ILP,3,4,14.0,2,0.015051999999999843,0.005710249999999972,True,True
9,3ag,3,4,16.0,1,0.00011200000000011201,0.00011320800000003128,True,False
9,ILP,3,4,12.0,0,0.002279000000000142,0.0022841670000000036,True,True
0,3ag,3,5,20.0,0,0.00011199999999966792,0.00011283399999995058,True,True
0,ILP,3,5,18.0,1,0.010512999999999995,0.00652137499999994,True,True
1,3ag,3,5,19.0,2,9.400000000026054e-05,9.595900000003432e-05,True,True
1,ILP,3,5,16.0,0,0.005916999999999728,0.0039663749999999665,True,True
