seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
0,ILP,3,10,15.0,0,0.119116,0.015827542000000014,True,True
1,ILP,3,10,20.0,0,0.21906300000000012,0.03431466699999999,True,True
2,ILP,3,10,21.0,0,0.15562600000000004,0.026068374999999977,True,True
3,ILP,3,10,13.0,0,0.02676899999999982,0.0045576669999999875,True,True
4,ILP,3,10,14.0,0,0.02341100000000007,0.004829582999999998,True,True
5,ILP,3,10,14.0,0,0.195592,0.032132416,True,True
6,ILP,3,10,21.0,0,0.173786,0.024318209000000035,True,True
7,ILP,3,10,15.0,0,0.05544400000000005,0.009734124999999982,True,True
8,ILP,3,10,20.0,0,0.10295999999999994,0.01567770900000004,True,True
9,ILP,3,10,15.0,0,0.03301399999999988,0.00862495799999996,True,True
0,ILP,3,30,55.0,0,0.04115800000000003,0.014777958000000035,True,True
1,ILP,3,30,53.0,0,0.05381200000000019,0.01673458299999997,True,True
2,ILP,3,30,51.0,0,0.09428099999999984,0.023551708999999976,True,True
3,ILP,3,30,45.0,0,0.023239999999999927,0.015788791999999996,True,True
4,ILP,3,30,53.0,0,0.020128000000000146,0.01570858399999997,True,True
5,ILP,3,30,52.0,0,0.012904000000000249,0.012922999999999962,True,True
6,ILP,3,30,58.0,0,0.01987400000000017,0.015304666999999994,True,True
7,ILP,3,30,57.0,0,0.019055999999999962,0.015188833000000013,True,True
8,ILP,3,30,61.0,0,0.012804000000000038,0.012816415999999997,True,True
9,ILP,3,30,44.0,0,0.02080200000000021,0.015161082999999964,True,True
0,ILP,3,50,89.0,0,0.039398000000000266,0.02946683300000008,True,True
1,ILP,3,50,86.0,0,0.02326000000000006,0.023295666999999964,True,True
2,ILP,3,50,85.0,0,0.06880500000000023,0.03963937500000003,True,True
3,ILP,3,50,84.0,0,0.023268999999999984,0.023303750000000067,True,True
4,ILP,3,50,87.0,0,0.03707899999999986,0.02732662500000005,True,True
5,ILP,3,50,86.0,0,0.023824999999999985,0.023919333000000043,True,True
6,ILP,3,50,97.0,0,0.043302000000000174,0.029423084000000044,True,True
7,ILP,3,50,93.0,0,0.03715599999999997,0.026918624999999974,True,True
8,ILP,3,50,95.0,0,0.04029700000000025,0.028390083999999982,True,True
9,ILP,3,50,74.0,0,0.03662199999999993,0.02751404199999996,True,True
0,ILP,3,70,129.0,0,0.034999,0.03501845800000003,True,True
1,ILP,3,70,121.0,0,0.058335000000000026,0.04125287500000008,True,True
2,ILP,3,70,124.0,0,0.03849400000000003,0.036548833,True,True
3,ILP,3,70,120.0,0,0.04220200000000007,0.03703499999999993,True,True
4,ILP,3,70,124.0,0,0.05711200000000005,0.04294954200000001,True,True
5,ILP,3,70,126.0,0,0.05528200000000005,0.042094166999999905,True,True
6,ILP,3,70,130.0,0,0.055091,0.04202275000000011,True,True
