seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
0,ILP,5,1,1.0,4,0.3711880000000001,0.05528533299999999,True,True
1,ILP,5,1,1.0,4,0.006015999999999799,0.002109790999999972,True,True
2,ILP,5,1,3.0,4,0.0063429999999999875,0.0019746250000000076,True,True
3,ILP,5,1,1.0,4,0.0048240000000001615,0.0019441250000000188,True,True
4,ILP,5,1,2.0,4,0.0046790000000001,0.0017658329999999944,True,True
5,ILP,5,1,1.0,4,0.0049360000000000515,0.0017862499999999892,True,True
6,ILP,5,1,1.0,4,0.005012999999999934,0.0020076249999999574,True,True
7,ILP,5,1,4.0,4,0.006835999999999842,0.0020919999999999828,True,True
8,ILP,5,1,2.0,4,0.0036560000000001036,0.0018540000000000223,True,True
9,ILP,5,1,2.0,4,0.0039239999999998165,0.0019555420000000323,True,True
0,ILP,5,2,4.0,6,0.008387000000000144,0.003236583999999987,True,True
1,ILP,5,2,3.0,6,0.01492300000000002,0.004850291999999978,True,True
2,ILP,5,2,5.0,6,0.014862999999999849,0.005682458000000001,True,True
3,ILP,5,2,5.0,6,0.007154000000000105,0.0037142499999999745,True,True
4,ILP,5,2,5.0,6,0.005052999999999974,0.0037751249999999903,True,True
5,ILP,5,2,2.0,6,0.011606000000000005,0.003102166999999989,True,True
6,ILP,5,2,3.0,6,0.008408999999999889,0.0034920840000000064,True,True
7,ILP,5,2,12.0,7,0.013681000000000054,0.003776500000000016,True,True
8,ILP,5,2,4.0,7,0.010796000000000028,0.0038422499999999915,True,True
9,ILP,5,2,4.0,6,0.009888999999999815,0.00311450000000002,True,True
0,ILP,5,3,6.0,6,0.027793999999999652,0.009544916999999986,True,True
1,ILP,5,3,6.0,7,0.027894000000000307,0.009568375000000018,True,True
2,ILP,5,3,10.0,6,0.020067000000000057,0.006834457999999988,True,True
3,ILP,5,3,6.0,6,0.03397199999999989,0.011388958999999976,True,True
4,ILP,5,3,10.0,6,0.017284999999999773,0.006828416000000004,True,True
5,ILP,5,3,4.0,6,0.031555,0.008941040999999983,True,True
6,ILP,5,3,6.0,7,0.02025599999999983,0.008815791999999989,True,True
7,ILP,5,3,13.0,7,0.030199000000000087,0.008090874999999997,True,True
8,ILP,5,3,7.0,7,0.026885000000000048,0.009792833,True,True
